iter	Logloss
0	0.6833362853
1	0.6749590749
2	0.6664353754
3	0.6572805434
4	0.6495511268
5	0.6412724979
6	0.6335471422
7	0.6233987231
8	0.6144640051
9	0.6058179032
10	0.5973312581
11	0.5894472714
12	0.5832091347
13	0.5744209561
14	0.5679597838
15	0.560261961
16	0.5526526947
17	0.5454477219
18	0.5378586792
19	0.5304289713
20	0.5231070701
21	0.5162440176
22	0.5104220921
23	0.5031291295
24	0.4968303084
25	0.4900687308
26	0.4847275628
27	0.4788694308
28	0.4730349374
29	0.4672157708
30	0.4616449516
31	0.4554848808
32	0.4494415788
33	0.4443438828
34	0.4385014791
35	0.4335692472
36	0.4284487769
37	0.422918345
38	0.4178672605
39	0.4132971788
40	0.40749809
41	0.4029197781
42	0.3982801924
43	0.3936419257
44	0.3886458898
45	0.3852006267
46	0.381103129
47	0.3770726977
48	0.3727510476
49	0.3676040986
50	0.3628813671
51	0.3591434762
52	0.3550256054
53	0.3506816801
54	0.3465725652
55	0.3425700286
56	0.3391085045
57	0.3359155253
58	0.3320572072
59	0.3285171898
60	0.3250586727
61	0.3215588343
62	0.3185880829
63	0.3150420141
64	0.3114084944
65	0.3076915301
66	0.3051130435
67	0.301749169
68	0.2990062134
69	0.2962850862
70	0.2931081906
71	0.2898358546
72	0.2867811738
73	0.2838097142
74	0.2812419199
75	0.2788240946
76	0.2761710808
77	0.2733479013
78	0.2707733944
79	0.2688249012
80	0.2669122673
81	0.2645267873
82	0.261985152
83	0.2595855722
84	0.2575092513
85	0.2556201424
86	0.253404967
87	0.2512651747
88	0.2491660315
89	0.2469202497
90	0.2453123715
91	0.2428692427
92	0.2412699478
93	0.239019332
94	0.2370906002
95	0.2354573411
96	0.2335149933
97	0.231462804
98	0.2293260908
99	0.227493964
100	0.2254904091
101	0.2239179364
102	0.2221691247
103	0.2201507914
104	0.2182150885
105	0.2162989965
106	0.2138335875
107	0.211808682
108	0.2099158083
109	0.2079812156
110	0.2065038782
111	0.2048988313
112	0.2033739273
113	0.2019014823
114	0.2004231783
115	0.1984714035
116	0.1968573114
117	0.1956602884
118	0.1940213933
119	0.1930250463
120	0.1919762928
121	0.1910324104
122	0.1897515031
123	0.1881048757
124	0.1869025412
125	0.1853914679
126	0.1840711447
127	0.1829050018
128	0.1816714977
129	0.180422898
130	0.1792183295
131	0.1778916047
132	0.1769333041
133	0.1755348847
134	0.1741810206
135	0.1729314552
136	0.1714360049
137	0.1706459119
138	0.1696060534
139	0.16838401
140	0.1671887774
141	0.165972549
142	0.1650654375
143	0.1639516359
144	0.1627632653
145	0.1617218741
146	0.1606381288
147	0.1597158277
148	0.1585026176
149	0.157488258
150	0.1562345286
151	0.1552873599
152	0.1542986968
153	0.153222763
154	0.1520850879
155	0.1512439505
156	0.1502055201
157	0.1494574799
158	0.1485429499
159	0.1475709598
160	0.1469224893
161	0.1460601929
162	0.1451996773
163	0.1441640165
164	0.1431969913
165	0.1423930187
166	0.1417579066
167	0.1411222931
